-1.27,99.9,5.476,2013-06-01 19:50
-1.33,99.9,5.859,2013-06-01 20:00
-1.362,99.9,6.16,2013-06-01 20:10
-1.301,99.9,6.418,2013-06-01 20:20
-1.168,99.9,5.358,2013-06-01 20:30
-1.149,99.9,6.77,2013-06-01 20:40
-1.211,99.8,7.038,2013-06-01 20:50
-1.17,99.8,5.411,2013-06-01 21:00
-1.261,99.8,6.367,2013-06-01 21:10
-1.262,99.8,7.296,2013-06-01 21:20
-1.306,99.8,6.365,2013-06-01 21:30
-1.249,99.8,5.227,2013-06-01 21:40
-1.252,99.8,5.088,2013-06-01 21:50
-1.316,99.8,6.95,2013-06-01 22:00
-1.356,99.8,6.35,2013-06-01 22:10
-1.326,99.8,4.469,2013-06-01 22:20
-1.351,99.8,6.144,2013-06-01 22:30
-1.338,99.8,6.997,2013-06-01 22:40
-1.217,99.8,4.936,2013-06-01 22:50
-1.158,99.8,5.62,2013-06-01 23:00
-1.083,99.8,6.401,2013-06-01 23:10
-1.082,99.8,6.203,2013-06-01 23:20
-1.115,99.8,7.658,2013-06-01 23:30
-1.039,99.9,7.4,2013-06-01 23:40
-0.945,99.8,6.878,2013-06-01 23:50
-0.954,99.9,6.983,2013-06-02 00:00
-0.89,99.8,6.485,2013-06-02 00:10
-0.837,99.8,6.457,2013-06-02 00:20
-0.749,99.8,7.689,2013-06-02 00:30
-0.798,99.8,8.64,2013-06-02 00:40
-0.876,99.8,7.21,2013-06-02 00:50
-0.948,99.8,7.073,2013-06-02 01:00
-0.947,99.8,5.703,2013-06-02 01:10
-1.04,99.8,7.427,2013-06-02 01:20
-1.06,99.8,7.533,2013-06-02 01:30
-1.027,99.8,5.845,2013-06-02 01:40
-0.959,99.8,7.461,2013-06-02 01:50
-1.004,99.8,7.607,2013-06-02 02:00
-1.039,99.8,5.636,2013-06-02 02:10
-0.941,99.8,4.856,2013-06-02 02:20
-1.045,99.8,6.71,2013-06-02 02:30
-1.111,99.8,6.825,2013-06-02 02:40
-1.207,99.8,6.798,2013-06-02 02:50
-1.217,99.8,6.733,2013-06-02 03:00
-1.267,99.8,4.762,2013-06-02 03:10
-1.275,99.8,6.119,2013-06-02 03:20
-1.313,99.8,6.854,2013-06-02 03:30
-1.312,99.8,5.726,2013-06-02 03:40
-1.328,99.8,5.437,2013-06-02 03:50
-1.379,99.8,4.688,2013-06-02 04:00
-1.389,99.8,3.504,2013-06-02 04:10
-1.415,99.9,4.94,2013-06-02 04:20
-1.399,99.8,5.139,2013-06-02 04:30
-1.393,99.8,3.416,2013-06-02 04:40
-1.268,99.8,5.288,2013-06-02 04:50
-1.14,99.8,4.58,2013-06-02 05:00
-1.073,99.9,6.023,2013-06-02 05:10
-1.004,99.9,7.185,2013-06-02 05:20
-0.971,99.8,5.002,2013-06-02 05:30
-0.974,99.8,5.057,2013-06-02 05:40
-1.041,99.8,5.622,2013-06-02 05:50
-0.995,99.8,4.152,2013-06-02 06:00
-0.97,99.8,4.25,2013-06-02 06:10
-1.053,99.8,3.381,2013-06-02 06:20
-1.099,99.8,2.988,2013-06-02 06:30
-1.17,99.8,3.061,2013-06-02 06:40
-1.211,99.8,4.639,2013-06-02 06:50
-1.164,99.9,3.125,2013-06-02 07:00
-1.198,99.9,4.537,2013-06-02 07:10
-1.21,99.9,4.171,2013-06-02 07:20
-1.154,99.9,4.05,2013-06-02 07:30
-1.154,99.9,4.068,2013-06-02 07:40
-1.219,99.9,3.426,2013-06-02 07:50
-1.161,99.9,3.802,2013-06-02 08:00
-1.055,99.9,2.771,2013-06-02 08:10
-1.093,99.9,4.633,2013-06-02 08:20
-1.211,99.9,4.117,2013-06-02 08:30
-1.083,99.9,3.786,2013-06-02 08:40
-0.914,99.9,3.77,2013-06-02 08:50
-0.629,99.9,5.409,2013-06-02 09:00
-0.77,99.9,4.623,2013-06-02 09:10
-0.768,99.9,5.462,2013-06-02 09:20
-0.776,99.9,4.954,2013-06-02 09:30
